model_key,imputation,sex,family,n,mu_formula,sigma_formula,nu_formula,tau_formula,converged,iterations,effective_df,global_deviance,AIC,BIC,attempt,age_min,age_max,height_df,weighting
imp1_Female,1,Female,BCCG,7890,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,,True,6,10.999981048804717,41173.050802744605,41195.05076484221,41271.75749824111,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp2_Female,2,Female,BCCG,7890,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,,True,6,11.000000040656992,41205.21666033065,41227.21666041196,41303.92352624772,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp3_Female,3,Female,BCCG,7890,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,,True,6,11.000011706727904,41191.866079513726,41213.86610292718,41290.57305011455,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp4_Female,4,Female,BCCG,7890,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,,True,6,10.999991300741158,41208.54856592952,41230.548548531,41307.255353420245,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp5_Female,5,Female,BCCG,7890,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,,True,6,11.000004937237614,41184.56592215898,41206.56593203346,41283.27283201479,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp1_Male,1,Male,BCT,8128,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,~1,True,7,25.908468721189905,45189.5480929031,45241.36503034548,45422.80385479251,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp2_Male,2,Male,BCT,8128,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,~1,True,6,25.90559638993117,45180.16985502922,45231.98104780908,45413.399757118765,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp3_Male,3,Male,BCT,8128,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,~1,True,6,25.985659648012707,45194.6101291671,45246.58144846313,45428.560846387176,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp4_Male,4,Male,BCT,8128,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,~1,True,7,25.737061215783427,45148.07229785097,45199.54642028254,45379.784865941576,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
imp5_Male,5,Male,BCT,8128,"alm_kg ~ pb(age, df = 3) + pb(height_m, df = 3)",~1,~1,~1,True,6,25.99576310891241,45142.07480748536,45194.06633370319,45376.11648687288,1,18,69,3,corrected pooled MEC weight; centered within sex for GAMLSS fitting
